ID,Word,Lemma,Pos,(Extra),Features,HeadPosition,Relation,_,EverythingElse
1,потому,потому,SCONJ,_,_,9,mark,_,@rml1967f-words#@rml1967f#323.457#323.672
2,что,что,SCONJ,_,_,1,fixed,_,@rml1967f-words#@rml1967f#323.672#323.887
3,/,/,PUNCT,_,_,1,punct,_,@rml1967f-words#@rml1967f#323.887#324.102
4,в,в,ADP,_,_,5,case,_,@rml1967f-words#@rml1967f#324.102#324.317
5,принципе,принцип,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,9,obl,_,@rml1967f-words#@rml1967f#324.317#324.532
6,/,/,PUNCT,_,_,5,punct,_,@rml1967f-words#@rml1967f#324.532#324.747
7,некоторые,некоторый,DET,_,Case=Nom|Number=Plur,8,det,_,@rml1967f-words#@rml1967f#324.747#324.962
8,артистки,артистка,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur,9,nsubj,_,@rml1967f-words#@rml1967f#324.962#325.177
9,считали,считать,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,56,advcl,_,@rml1967f-words#@rml1967f#325.177#325.392
10,/,/,PUNCT,_,_,11,punct,_,@rml1967f-words#@rml1967f#325.392#325.607
11,шо,что,SCONJ,_,Degree=Pos,9,obl,_,@rml1967f-words#@rml1967f#325.607#325.822
12,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,13,nsubj,_,@rml1967f-words#@rml1967f#325.822#326.037
13,позор,позор,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,9,obl,_,@rml1967f-words#@rml1967f#326.037#326.252
14,МХТа,МХТ,NOUN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,13,nmod,_,@rml1967f-words#@rml1967f#326.252#326.467
15,/,/,PUNCT,_,_,17,punct,_,@rml1967f-words#@rml1967f#326.467#326.682
16,ну,ну,PART,_,_,17,discourse,_,@rml1967f-words#@rml1967f#326.682#326.897
17,вы,вы,PRON,_,Case=Nom|Number=Plur|Person=2,22,nsubj,_,@rml1967f-words#@rml1967f#326.897#327.112
18,/,/,PUNCT,_,_,17,punct,_,@rml1967f-words#@rml1967f#327.112#327.327
19,наверное,наверное,ADV,_,Degree=Pos,22,parataxis,_,@rml1967f-words#@rml1967f#327.327#327.542
20,/,/,PUNCT,_,_,19,punct,_,@rml1967f-words#@rml1967f#327.542#327.757
21,в,в,ADP,_,_,22,case,_,@rml1967f-words#@rml1967f#327.757#327.972
22,курсе,курс,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,27,obl,_,@rml1967f-words#@rml1967f#327.972#328.187
23,меня,я,PRON,_,Case=Acc Number=Sing|Person=1,27,obj,_,@rml1967f-words#@rml1967f#328.459#328.873
24,из,из,ADP,_,_,26,case,_,@rml1967f-words#@rml1967f#328.873#329.287
25,одной,один,NUM,_,Case=Gen|Gender=Fem,26,nummod,_,@rml1967f-words#@rml1967f#329.287#329.701
26,гримерной,гримерный,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,27,obl,_,@rml1967f-words#@rml1967f#329.701#330.115
27,выгоняла,выгонять,VERB,_,Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,13,acl,_,@rml1967f-words#@rml1967f#330.115#330.529
28,артистка,артистка,NOUN,_,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,27,nsubj,_,@rml1967f-words#@rml1967f#330.529#330.943
29,/,/,PUNCT,_,_,32,punct,_,@rml1967f-words#@rml1967f#330.943#331.357
30,которая,который,PRON,_,Case=Nom|Gender = Fem,32,nsubj:pass,_,@rml1967f-words#@rml1967f#331.357#331.771
31,была,быть,AUX,_,Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,32,aux:pass,_,@rml1967f-words#@rml1967f#331.771#332.185
32,написана,написан,ADJ,_,Degree=Pos|Gender=Masc|Number=Sing|Variant=Short,28,acl:relcl,_,@rml1967f-words#@rml1967f#332.185#332.599
33,на,на,ADP,_,_,35,case,_,@rml1967f-words#@rml1967f#332.599#333.013
34,этой,этот,DET,_,Case=Loc|Gender=Fem|Number=Sing,35,det,_,@rml1967f-words#@rml1967f#333.013#333.427
35,гримёрке,гримёрка,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,32,obl,_,@rml1967f-words#@rml1967f#333.427#333.841
36,у,у,ADP,_,_,37,case,_,@rml1967f-words#@rml1967f#334.025#334.203
37,меня,я,PRON,_,Case=Gen|Number=Sing|Person=1,32,obl,_,@rml1967f-words#@rml1967f#334.203#334.381
